id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
14,TCK-Y6WKTAK,Medium,In Progress,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-12-25,,george,2024-12-25 00:55:25
15,TCK-PUXQPHR,High,Resolved,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-05-31,2024-06-04,alice,2024-05-31 08:12:53
16,TCK-62GDSWM,High,Resolved,Access,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-05-10,2024-05-14,edward,2024-05-10 15:25:50
17,TCK-31YIHAI,Medium,Open,Hardware,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-05-29,,bob,2024-05-29 02:42:37
18,TCK-R4COWGZ,Low,Closed,Access,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-11-04,2024-11-07,diana,2024-11-04 09:06:05
19,TCK-RIXA11D,Medium,Resolved,Network,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-09-14,2024-09-26,george,2024-09-14 07:10:05
20,TCK-PG8SBI4,High,In Progress,Security,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-12-09,,edward,2024-12-09 05:59:18
21,TCK-Q2Y9V86,Medium,Closed,Access,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-10-20,2024-10-22,fatima,2024-10-20 11:59:12
22,TCK-WZS3T60,High,Closed,Security,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-07-10,2024-07-21,bob,2024-07-10 11:18:57
23,TCK-RJIW1SW,Critical,Open,Access,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-10-03,,charlie,2024-10-03 02:17:17
24,TCK-JCKJLTE,Low,In Progress,Network,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-06-09,,george,2024-06-09 22:47:30
25,TCK-IYZCOTO,High,Closed,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-11-09,2024-11-21,bob,2024-11-09 22:45:58
26,TCK-HP6VZ41,High,Resolved,Network,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-01-22,2024-01-31,fatima,2024-01-22 03:31:18
27,TCK-NAM148P,Medium,Open,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-09-09,,edward,2024-09-09 01:00:53
28,TCK-0TVHHPB,Medium,Resolved,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-08-23,2024-08-25,alice,2024-08-23 17:28:30
29,TCK-MYOFQEW,Medium,Resolved,Security,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-12-10,2024-12-20,diana,2024-12-10 15:43:36
30,TCK-AOUAXEQ,High,Resolved,Network,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-02-18,2024-02-25,bob,2024-02-18 00:52:28
31,TCK-BNHL1N1,High,Resolved,Access,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-02-28,2024-02-29,diana,2024-02-28 21:34:24
32,TCK-3JCAT9M,High,Resolved,Network,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-06-18,2024-06-19,alice,2024-06-18 22:48:10
33,TCK-X2X18HA,High,Open,Security,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-07-06,,bob,2024-07-06 12:10:17
34,TCK-FEYUHZ1,Medium,Open,Hardware,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-09-27,,henry,2024-09-27 09:07:01
35,TCK-GV0E38D,Low,Resolved,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-07-08,2024-07-10,fatima,2024-07-08 08:59:54
36,TCK-ALY8OZC,Medium,Closed,Software,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-06-23,2024-06-27,bob,2024-06-23 03:55:34
37,TCK-YWD14VE,Low,In Progress,Software,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-02-20,,fatima,2024-02-20 17:14:32
38,TCK-92MPNSM,Medium,Resolved,Access,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-12-29,2024-12-31,irene,2024-12-29 08:40:42
39,TCK-43D8W3Z,Medium,Resolved,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-02-24,2024-03-04,george,2024-02-24 12:24:29
40,TCK-P08J3TR,Medium,In Progress,Access,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-08-31,,irene,2024-08-31 01:58:54
41,TCK-P0J43D5,Medium,Resolved,Access,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-11-15,2024-11-25,edward,2024-11-15 12:08:44
42,TCK-IQVNB4G,Medium,Closed,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-05-10,2024-05-11,george,2024-05-10 18:55:14
43,TCK-H2M5ZJA,High,Resolved,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-11-02,2024-11-11,george,2024-11-02 08:37:10
44,TCK-8DZR1YX,Medium,Resolved,Software,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-05-14,2024-05-18,charlie,2024-05-14 02:39:16
45,TCK-R2DHYLU,Low,In Progress,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-01-21,,george,2024-01-21 21:50:38
46,TCK-RTP0LZJ,High,Resolved,Security,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-11-24,2024-12-06,alice,2024-11-24 22:33:27
47,TCK-JEGET1G,High,In Progress,Access,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-06-15,,irene,2024-06-15 15:57:58
48,TCK-HR09SKD,Medium,In Progress,Software,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-09-30,,fatima,2024-09-30 03:28:59
49,TCK-GIGATJ9,Low,Resolved,Network,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-03-29,2024-04-09,edward,2024-03-29 22:46:05
50,TCK-TZE5R5U,Medium,Open,Access,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-11-11,,george,2024-11-11 16:15:17
51,TCK-QPGB7R3,Medium,Open,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-01-14,,edward,2024-01-14 21:04:42
52,TCK-OCWBFUK,High,Resolved,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-08-29,2024-09-10,edward,2024-08-29 04:32:41
53,TCK-9E1V2IS,Medium,In Progress,Network,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-09-21,,george,2024-09-21 03:06:51
54,TCK-QP49KWV,High,In Progress,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-12-11,,george,2024-12-11 02:12:34
55,TCK-08HHXFG,Low,Resolved,Access,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-02-22,2024-03-02,charlie,2024-02-22 01:12:50
56,TCK-CAQVKIZ,Medium,Resolved,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-12-05,2024-12-12,charlie,2024-12-05 13:44:25
57,TCK-ZQY72WX,High,Open,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-04-01,,charlie,2024-04-01 11:24:22
58,TCK-7PTX63C,Critical,Closed,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-09-20,2024-09-24,fatima,2024-09-20 02:22:03
59,TCK-FL0UKEY,Critical,In Progress,Hardware,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-02-04,,fatima,2024-02-04 04:38:36
60,TCK-Z7SRCBP,Medium,Resolved,Software,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-07-24,2024-08-01,charlie,2024-07-24 02:15:26
61,TCK-LJD84U8,High,Resolved,Network,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-03-21,2024-03-31,charlie,2024-03-21 16:05:23
62,TCK-9YJB1QX,Medium,Closed,Security,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-02-19,2024-02-24,henry,2024-02-19 01:59:41
63,TCK-6GVWRDM,Medium,Resolved,Network,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-12-25,2024-12-31,henry,2024-12-25 10:58:34
64,TCK-LY4LYK8,High,Resolved,Network,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-01-02,2024-01-16,george,2024-01-02 22:14:10
65,TCK-3TQLL8O,High,Resolved,Security,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-02-23,2024-02-24,diana,2024-02-23 22:47:55
66,TCK-S9XTOGN,High,Open,Security,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-04-15,,diana,2024-04-15 15:43:22
67,TCK-1W1HT7P,Low,Open,Access,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-09-16,,charlie,2024-09-16 02:23:43
68,TCK-ZE9VIFT,High,Resolved,Access,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-11-05,2024-11-18,edward,2024-11-05 03:42:26
69,TCK-TD96QE3,Medium,In Progress,Network,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-07-09,,charlie,2024-07-09 02:01:52
70,TCK-RZSJ49I,Low,Resolved,Network,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-08-05,2024-08-18,henry,2024-08-05 20:21:43
71,TCK-TN7S55J,Medium,Open,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-02-13,,george,2024-02-13 01:54:02
72,TCK-2O7S3KK,Low,Resolved,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-06-10,2024-06-13,charlie,2024-06-10 10:44:15
73,TCK-V9RFTMT,Medium,In Progress,Access,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-07-20,,irene,2024-07-20 13:53:18
74,TCK-TQLGZUI,Low,In Progress,Access,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-09-26,,edward,2024-09-26 14:37:29
75,TCK-1B0Z3NX,High,Resolved,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-12-16,2024-12-28,irene,2024-12-16 03:29:20
76,TCK-39RBSV5,High,Resolved,Hardware,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-10-30,2024-11-06,george,2024-10-30 22:28:31
77,TCK-5PSQ0OX,Medium,Resolved,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-09-27,2024-10-03,george,2024-09-27 14:58:04
78,TCK-FQ8MYX4,Low,In Progress,Software,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-08-02,,fatima,2024-08-02 08:29:14
79,TCK-44NLZ15,Low,In Progress,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-09-08,,bob,2024-09-08 21:49:47
80,TCK-BCW790P,Critical,Resolved,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-07-08,2024-07-13,irene,2024-07-08 22:43:09
81,TCK-DW5PY6B,High,Open,Security,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-10-22,,fatima,2024-10-22 00:23:10
82,TCK-2KNFTU2,Low,Resolved,Access,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-07-31,2024-08-03,henry,2024-07-31 16:30:29
83,TCK-GC5WI6F,High,Resolved,Access,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-07-26,2024-07-30,alice,2024-07-26 13:58:41
84,TCK-QJJA26Y,Low,Resolved,Hardware,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-08-24,2024-09-06,edward,2024-08-24 16:54:04
85,TCK-FPMVXPJ,Low,Resolved,Network,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-12-03,2024-12-09,alice,2024-12-03 15:35:12
86,TCK-4HNRIUU,Medium,Resolved,Hardware,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-02-22,2024-02-24,henry,2024-02-22 22:34:52
87,TCK-9K9XJUY,Medium,Closed,Software,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-10-06,2024-10-08,henry,2024-10-06 22:32:43
88,TCK-0BVR6K2,Medium,In Progress,Network,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-08-04,,alice,2024-08-04 03:41:14
89,TCK-VMWWYZX,High,Open,Software,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-09-08,,irene,2024-09-08 12:21:54
90,TCK-4W6XLPU,Low,In Progress,Security,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-07-06,,bob,2024-07-06 23:41:57
91,TCK-0DK0GET,Medium,In Progress,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-02-10,,irene,2024-02-10 00:56:44
92,TCK-8T63J3R,Low,Resolved,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-06-05,2024-06-12,alice,2024-06-05 16:31:56
93,TCK-30ME8F8,High,Closed,Security,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-01-15,2024-01-17,irene,2024-01-15 18:49:52
94,TCK-40982N2,Low,Open,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-10-27,,diana,2024-10-27 11:56:57
95,TCK-ATQYYV3,Medium,Open,Software,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-03-05,,irene,2024-03-05 21:24:05
96,TCK-7DIA5U6,Critical,In Progress,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-12-10,,george,2024-12-10 07:00:28
97,TCK-HC36KOF,Critical,Resolved,Network,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-11-22,2024-11-28,fatima,2024-11-22 03:55:56
98,TCK-8KRD5EQ,Medium,Resolved,Security,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-01-09,2024-01-23,edward,2024-01-09 03:44:19
99,TCK-Y08P0FO,Medium,Open,Access,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-12-09,,irene,2024-12-09 00:26:50
100,TCK-DRO8BNP,Low,Closed,Security,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-05-08,2024-05-14,bob,2024-05-08 21:40:10
101,TCK-84DYT9M,High,Resolved,Network,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-05-15,2024-05-25,bob,2024-05-15 02:27:33
102,TCK-OGE4QXX,Critical,Open,Access,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-03-03,,irene,2024-03-03 21:35:10
103,TCK-VA2IEUC,Medium,Resolved,Hardware,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-05-18,2024-05-23,charlie,2024-05-18 07:02:57
104,TCK-1HH5LF6,Medium,Resolved,Hardware,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-03-21,2024-04-03,henry,2024-03-21 20:52:12
105,TCK-A4FEJGX,Medium,In Progress,Network,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-06-11,,irene,2024-06-11 04:35:12
106,TCK-AA2ILGB,Low,Open,Security,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-10-15,,henry,2024-10-15 23:12:20
107,TCK-0S0R2SD,Low,Open,Software,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-09-17,,diana,2024-09-17 18:31:42
108,TCK-S8B25SQ,Low,Open,Network,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-08-18,,alice,2024-08-18 09:19:51
109,TCK-8CROYR6,Low,Resolved,Access,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-02-10,2024-02-11,diana,2024-02-10 12:56:21
110,TCK-CCVCJWT,Medium,Closed,Access,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-01-28,2024-02-09,irene,2024-01-28 15:19:42
111,TCK-L9TQVDZ,Medium,Open,Hardware,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-05-14,,bob,2024-05-14 17:31:37
112,TCK-4X1ZHQI,Medium,Open,Access,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-07-19,,charlie,2024-07-19 22:36:16
113,TCK-MQODPXN,Low,Open,Network,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-11-23,,henry,2024-11-23 16:11:17
114,TCK-F7C3DD0,Critical,Open,Access,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-09-24,,fatima,2024-09-24 06:46:09
115,TCK-3UVULEM,Medium,Resolved,Network,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-02-02,2024-02-10,henry,2024-02-02 08:51:10
116,TCK-X15Z8VM,Critical,In Progress,Software,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-02-17,,george,2024-02-17 05:00:45
117,TCK-UHXID4N,Medium,In Progress,Hardware,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-03-02,,edward,2024-03-02 01:36:16
118,TCK-1U3493W,Low,Open,Access,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-08-03,,irene,2024-08-03 02:12:08
119,TCK-XA73JGZ,Low,Resolved,Network,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-10-19,2024-10-28,diana,2024-10-19 04:38:55
120,TCK-LMA5UOF,High,In Progress,Security,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-04-08,,fatima,2024-04-08 11:20:50
121,TCK-WB0HPMN,Low,Resolved,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-06-20,2024-06-22,bob,2024-06-20 21:16:54
122,TCK-Z1UDBFW,Medium,Open,Software,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-12-25,,bob,2024-12-25 15:52:07
123,TCK-YJXRPJ1,Critical,Resolved,Network,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-08-01,2024-08-08,bob,2024-08-01 18:40:56
124,TCK-EPKYRYB,High,Resolved,Software,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-02-04,2024-02-06,george,2024-02-04 23:43:40
125,TCK-OVAKHEJ,High,Open,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-08-14,,bob,2024-08-14 13:01:30
126,TCK-LA0GNZS,Critical,In Progress,Access,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-04-10,,bob,2024-04-10 11:19:48
127,TCK-43C5BA7,Low,Closed,Access,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-05-10,2024-05-19,irene,2024-05-10 21:15:02
128,TCK-5UUZPEA,Medium,Closed,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-09-13,2024-09-18,george,2024-09-13 19:42:08
129,TCK-L2W37D4,Low,In Progress,Security,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-01-05,,charlie,2024-01-05 05:18:07
130,TCK-IVSOLML,High,In Progress,Network,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-08-05,,charlie,2024-08-05 05:22:01
131,TCK-GSES6M0,High,Closed,Security,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-09-11,2024-09-25,george,2024-09-11 17:05:41
132,TCK-33IFHV1,Medium,Resolved,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-12-24,2024-12-31,edward,2024-12-24 11:14:18
133,TCK-XG1R11Q,High,Open,Hardware,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-10-09,,fatima,2024-10-09 21:57:59
134,TCK-7UWW5WF,Medium,Closed,Network,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-07-25,2024-08-04,henry,2024-07-25 12:29:04
135,TCK-CPKJCSL,Low,Open,Network,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-01-15,,irene,2024-01-15 10:35:50
136,TCK-QC3C54W,Medium,Resolved,Security,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-12-11,2024-12-25,alice,2024-12-11 13:25:43
137,TCK-SQT26Q3,Medium,Open,Software,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-02-11,,charlie,2024-02-11 00:17:39
138,TCK-XLRFCD6,High,Open,Software,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-06-27,,george,2024-06-27 18:50:53
139,TCK-MZSGIPP,Critical,In Progress,Security,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-03-03,,fatima,2024-03-03 21:21:05
140,TCK-SFNKOMV,High,Resolved,Software,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-12-17,2024-12-23,george,2024-12-17 23:56:43
141,TCK-2XCDYK0,Medium,In Progress,Access,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-08-18,,henry,2024-08-18 05:15:53
142,TCK-X65MUFM,Critical,Open,Hardware,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-08-28,,fatima,2024-08-28 02:05:12
143,TCK-8ZOV7LN,Medium,Open,Network,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-02-21,,charlie,2024-02-21 08:38:34
144,TCK-23Y30YS,Medium,Resolved,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-04-05,2024-04-15,bob,2024-04-05 18:27:47
145,TCK-XPNNGH8,Medium,Closed,Network,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-08-09,2024-08-13,george,2024-08-09 20:22:08
146,TCK-RIEC4D1,High,In Progress,Access,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-08-18,,alice,2024-08-18 01:59:17
147,TCK-45BM1EN,High,Resolved,Software,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-08-24,2024-09-05,charlie,2024-08-24 15:22:00
148,TCK-F313FPO,Low,Closed,Security,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-05-22,2024-05-24,diana,2024-05-22 12:31:04
149,TCK-YIPK0QT,Medium,Resolved,Access,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-06-19,2024-06-20,alice,2024-06-19 07:06:52
150,TCK-L3Q4N89,Medium,Open,Hardware,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-01-29,,edward,2024-01-29 07:17:43
151,TCK-QKNS832,Critical,In Progress,Security,Network outage on floor 3,Auto-generated support ticket for dashboard analytics.,2024-02-05,,charlie,2024-02-05 23:19:18
152,TCK-EJX5TD4,Low,In Progress,Software,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-01-13,,bob,2024-01-13 07:19:39
153,TCK-4K1J6FP,Medium,In Progress,Access,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-06-08,,charlie,2024-06-08 02:29:25
154,TCK-8HQMABS,High,In Progress,Security,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-11-22,,henry,2024-11-22 12:26:07
155,TCK-I9NB74X,Low,Resolved,Access,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-07-05,2024-07-16,fatima,2024-07-05 06:53:39
156,TCK-2EK3ZEZ,High,In Progress,Access,Application timeout error,Auto-generated support ticket for dashboard analytics.,2024-08-30,,george,2024-08-30 17:19:14
157,TCK-QACJ4T0,Medium,In Progress,Software,VPN access failure,Auto-generated support ticket for dashboard analytics.,2024-03-26,,fatima,2024-03-26 17:01:03
158,TCK-SEKKBP2,Medium,Resolved,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-10-10,2024-10-14,fatima,2024-10-10 21:50:12
159,TCK-QD6VASI,High,In Progress,Security,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-03-06,,charlie,2024-03-06 12:03:23
160,TCK-FPWIOXD,Low,Resolved,Software,Software installation request,Auto-generated support ticket for dashboard analytics.,2024-06-18,2024-07-01,henry,2024-06-18 21:03:33
161,TCK-9CSS9TO,Medium,Resolved,Access,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-02-14,2024-02-19,george,2024-02-14 20:36:39
162,TCK-QW9JA2M,Medium,In Progress,Software,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-03-02,,george,2024-03-02 12:13:15
163,TCK-0W10LBT,High,Resolved,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-05-13,2024-05-15,fatima,2024-05-13 22:25:53
164,TCK-3G2QZW3,Critical,Resolved,Security,Email not syncing,Auto-generated support ticket for dashboard analytics.,2024-10-10,2024-10-24,edward,2024-10-10 10:54:33
165,TCK-C1QKBHB,High,Resolved,Network,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-01-28,2024-02-01,henry,2024-01-28 15:14:39
166,TCK-7S9TJ1G,Low,In Progress,Hardware,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-04-17,,edward,2024-04-17 11:57:52
167,TCK-M25LEN6,High,In Progress,Security,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-02-13,,irene,2024-02-13 05:54:30
168,TCK-06N9RR7,Medium,Resolved,Network,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-12-05,2024-12-19,irene,2024-12-05 03:49:02
169,TCK-S20CV3T,Medium,Open,Access,Printer not responding,Auto-generated support ticket for dashboard analytics.,2024-10-12,,alice,2024-10-12 16:32:26
170,TCK-LCXLVPY,High,In Progress,Security,Laptop overheating,Auto-generated support ticket for dashboard analytics.,2024-11-26,,fatima,2024-11-26 01:32:10
171,TCK-MB5M9J9,Medium,Open,Security,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-05-07,,george,2024-05-07 18:03:22
172,TCK-8CWN2Y8,Critical,Resolved,Software,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-12-13,2024-12-15,charlie,2024-12-13 07:59:17
173,TCK-FV2BC2N,Low,In Progress,Access,System crash on login,Auto-generated support ticket for dashboard analytics.,2024-08-18,,george,2024-08-18 00:08:04
174,TCK-NUVY8N1,Medium,Closed,Hardware,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-07-08,2024-07-15,george,2024-07-08 23:15:24
175,TCK-UTOXIE0,High,Resolved,Network,Slow system performance,Auto-generated support ticket for dashboard analytics.,2024-08-12,2024-08-17,bob,2024-08-12 08:07:12
176,TCK-RNUJJQ9,High,Resolved,Software,Password reset required,Auto-generated support ticket for dashboard analytics.,2024-10-09,2024-10-17,george,2024-10-09 08:23:02
